modele,mae_test,rmse_test,r2_test,mae_validation_croisee,ecart_type_validation
Forêt aléatoire,7941.833262429089,10785.096339414717,-0.04329634949283223,7881.624021791422,1845.9367878309897
Régression Ridge,9332.805883630908,12402.01320811045,-0.3795708496466983,8445.61721428893,1651.14384466157
Référence médiane,8531.157894736842,10559.04481325944,-2.048444138802452e-05,8527.456045519202,1806.7879420381917
